"name","party","storkreds","lokalkreds","ran.last.election","age","sex","title","location","pers.votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Yildiz Akdogan","socialdemokraterne","Københavns "," Brønshøj"," Ja ",42," Kvinde "," cand.scient.pol. "," 2200 København N",4284,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Sine Heltberg","socialdemokraterne","Københavns "," Slots"," Nej ",39," Kvinde "," Ukendt ","  Frederiksberg",827,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Özkan Kocak","socialdemokraterne","Københavns "," Sundbyøster"," Nej ",39," Mand "," Ukendt "," 2600 Glostrup",913,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig"
"Lars Aslan Rasmussen","socialdemokraterne","Københavns "," Nørrebro"," Nej ",36," Mand "," Folkeskolelærer "," 2300 København S",1447,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig"
"Mette Reissmann","socialdemokraterne","Københavns "," Valby"," Ja ",52," Kvinde "," MF "," 2100 København Ø",2962,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Dennis Schnell-Lauritzen","socialdemokraterne","Københavns "," Sundbyvester"," Nej ",45," Mand "," cand.jur. "," 2300 København S",508,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig"
"Simon Sjørup Simonsen","socialdemokraterne","Københavns "," Indre By"," Nej ",45," Mand "," Ph.d. "," 2200 København N",287,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Delvist enig"
"Peter Hummelgård Thomsen","socialdemokraterne","Københavns "," Tårnby"," Nej ",32," Mand "," Konsulent ","  København V",5065,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Kristian Westfall","socialdemokraterne","Københavns "," Vesterbro"," Nej ",36," Mand "," cand.soc. "," 2200 København N",324,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Pernille Boye Koch","radikale venstre","Københavns "," Østerbro"," Ja ",44," Kvinde "," Universitetslektor "," 2720 Vanløse",867,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Samira Nawa Amini","radikale venstre","Københavns "," Utterslev"," Nej ",27," Kvinde "," Fuldmægtig ","  Roskilde",1790,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig"
"Ida Auken","radikale venstre","Københavns "," Vesterbro"," Ja ",37," Kvinde "," Fhv. minister ","  Frederiksberg",10431,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Søren Burcharth","radikale venstre","Københavns "," Brønshøj"," Nej ",52," Mand "," Teamchef ","  Vanløse",191,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Sophie Danneris","radikale venstre","Københavns "," Sundbyvester"," Nej ",29," Kvinde "," cand.scient.soc. ","  København S",423,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Karsten Lauritsen","radikale venstre","Københavns "," Slots"," Ja ",50," Mand "," Direktør ","  Frederiksberg",177,"Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Lone Loklindt","radikale venstre","Københavns "," Falkoner"," Ja ",55," Kvinde "," CSR-konsulent "," 1825 Frederiksberg C",1134,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Mia Nyegård","radikale venstre","Københavns "," Indre By"," Ja ",41," Kvinde "," Adm. Direktør ","  København K",696,"Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Manu Sareen","radikale venstre","Københavns "," Nørrebro"," Ja ",48," Mand "," Minister for Børn, Ligestilling, Integration og Sociale Forhold ","  Frederiksberg C",6168,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Christian Peter Schmidt-Sørensen Dragsdahl Scharling","radikale venstre","Københavns "," Tårnby"," Nej ",22," Mand "," Studerende "," 2300 København S",286,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig"
"André Just Vedgren","radikale venstre","Københavns "," Sundbyøster"," Nej ",45," Mand "," Cand.it. "," 2300 København S",323,"Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig"
"Niels Wanning","radikale venstre","Københavns "," Valby"," Nej ",35," Mand "," Rådgiver ","  København V",268,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Helle Bonnesen","det konservative folkeparti","Københavns "," Sundbyøster, Vesterbro, Østerbro"," Ja ",52," Kvinde "," cand.merc. "," 2300 København Ø",1430,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig"
"Lars Barfoed","det konservative folkeparti","Københavns "," Brønshøj, Falkoner, Slots"," Ja ",58," Mand "," Fhv. minister, cand. jur. ","  Frederiksberg",2606,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig"
"Anne Hansen","det konservative folkeparti","Københavns "," Indre By, Nørrebro, Utterslev"," Ja ",30," Kvinde "," Konsulent ","  Hvidovre",1016,"Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig"
"Josefine Kofoed","det konservative folkeparti","Københavns "," Dragør, Tårnby"," Nej ",29," Kvinde "," stud.scient.pol. "," Ukendt",1209,"Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Søren-Michael Pihl","det konservative folkeparti","Københavns "," Sundbyvester, Valby"," Nej ",58," Mand "," Interim manager "," 2100 København Ø",257,"Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig"
"Sisse Marie Welling","socialistisk folkeparti","Københavns "," Østerbro, Valby, Sundbyvester, Tårnby"," Nej ",29," Kvinde "," Fuldmægtig "," 2200 København N",727,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Balder Mørk Andersen","socialistisk folkeparti","Københavns "," Storkredskandidat"," Ja ",39," Mand "," Konsulent ","  Frederiksberg",400,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig"
"Neil Bloem","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",33," Mand "," Studerende "," 2200 København N",278,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Özlem Sara Cekic","socialistisk folkeparti","Københavns "," Vesterbro, Indre by, Utterslev, Falkoner"," Ja ",39," Kvinde "," Sygeplejerske "," 2770 Kastrup",6542,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Leif Donbæk","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",31," Mand "," Stud.jur. "," 2200 København N",104,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Pia Olsen Dyhr","socialistisk folkeparti","Københavns "," Nørrebro, Brønshøj, Sundbyøster, Slots"," Ja ",43," Kvinde "," Partiformand "," 2700 Brønshøj",9575,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Kathrine Jensen","socialistisk folkeparti","Københavns "," Ukendt"," Nej ",31," Kvinde "," Kandidat i Asienstudier ","  København V",116,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Klaus Mygind","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",60," Mand "," Konsulent "," 2300 København S",147,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Jonas Niemann","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",25," Mand "," Kemiker "," 2100 København Ø",119,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Kasper Nordborg Kiær","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",29," Mand "," Folkeskolelærer "," 2300 København S",456,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig"
"Halime Oguz","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",45," Kvinde "," cand.mag. / integrationsvejleder "," Ukendt",73,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig"
"Kirsten Sloth","socialistisk folkeparti","Københavns "," Storkredskandidat"," Nej ",50," Kvinde "," Administrativ sagsbehandler ","  København K",85,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Simon Emil Ammitzbøll","liberal alliance","Københavns "," Storkredskandidat"," Ja ",38," Mand "," MF "," 2100 København Ø",6904,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Karina Bergmann","liberal alliance","Københavns "," Storkredskandidat"," Nej ",30," Kvinde "," Sælger "," 2200 København N",643,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig"
"Rasmus Boserup","liberal alliance","Københavns "," Storkredskandidat"," Nej ",33," Mand "," IT-chef "," 2770 Kastrup",224,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Patrick Donovan","liberal alliance","Københavns "," Storkredskandidat"," Nej ",40," Mand "," Konsulent "," 2450 København SV",251,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Søren Juliussen","liberal alliance","Københavns "," Storkredskandidat"," Nej ",26," Mand "," Mediegrafiker "," 2400 København NV",203,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Kasper Heumann Kristensen","liberal alliance","Københavns "," Storkredskandidat"," Nej ",38," Mand "," Direktør "," 2200 København N",471,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Laura Lindahl","liberal alliance","Københavns "," Østerbro"," Ja ",32," Kvinde "," Rådmand "," 1813 Frederiksberg C",2691,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Danny K. Malkowski","liberal alliance","Københavns "," Storkredskandidat"," Nej ",31," Mand "," Selvstændig "," 2400 København NV",670,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Henrik Howardsen","kristendemokraterne","Københavns "," Nørrebro"," Nej ",51," Mand "," Sygeplejerske "," 2200 København N",120,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Delvist enig"
"Sølve Jønsson","kristendemokraterne","Københavns "," Sundbyvester"," Nej ",41," Kvinde "," Bibliotekar "," 2300 København S",59,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig"
"Bess Serner-Pedersen","kristendemokraterne","Københavns "," Slots, Brønshøj, Vanløse"," Ja ",64," Kvinde "," Sekretær "," 2720 Vanløse",151,"Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig"
