Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Yildiz Akdogan,4284,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns , Brønshøj, 42, cand.scient.pol. , 2200 København N, Kvinde , Ja 
Sine Heltberg,827,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialdemokraterne,Københavns , Slots, Ukendt, Ukendt ,  Frederiksberg, Kvinde , Nej 
Özkan Kocak,913,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Delvist uenig,socialdemokraterne,Københavns , Sundbyøster, 39, Ukendt , 2600 Glostrup, Mand , Nej 
Lars Aslan Rasmussen,1447,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,socialdemokraterne,Københavns , Nørrebro, Ukendt, Folkeskolelærer , 2300 København S, Mand , Nej 
Mette Reissmann,2962,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns , Valby, 52, MF , 2100 København Ø, Kvinde , Ja 
Dennis Schnell-Lauritzen,508,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Københavns , Sundbyvester, Ukendt, cand.jur. , 2300 København S, Mand , Nej 
Simon Sjørup Simonsen,287,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,socialdemokraterne,Københavns , Indre By, 45, Ph.d. , 2200 København N, Mand , Nej 
Peter Hummelgård Thomsen,5065,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns , Tårnby, Ukendt, Konsulent ,  København V, Mand , Nej 
Kristian Westfall,324,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,socialdemokraterne,Københavns , Vesterbro, 36, cand.soc. , 2200 København N, Mand , Nej 
Pernille Boye Koch,867,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist uenig,radikale venstre,Københavns , Østerbro, 45, Universitetslektor , 2720 Vanløse, Kvinde , Ja 
Samira Nawa Amini,1790,Delvist enig,Delvist enig,Helt uenig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,radikale venstre,Københavns , Utterslev, 27, Fuldmægtig ,  Roskilde, Kvinde , Nej 
Ida Auken,10431,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns , Vesterbro, 37, Fhv. minister ,  Frederiksberg, Kvinde , Ja 
Søren Burcharth,191,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns , Brønshøj, Ukendt, Teamchef ,  Vanløse, Mand , Nej 
Sophie Danneris,423,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Københavns , Sundbyvester, 29, cand.scient.soc. ,  København S, Kvinde , Nej 
Karsten Lauritsen,177,Helt uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns , Slots, 50, Direktør ,  Frederiksberg, Mand , Ja 
Lone Loklindt,1134,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,radikale venstre,Københavns , Falkoner, 55, CSR-konsulent , 1825 Frederiksberg C, Kvinde , Ja 
Mia Nyegård,696,Hverken enig eller uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,radikale venstre,Københavns , Indre By, 41, Adm. Direktør ,  København K, Kvinde , Ja 
Manu Sareen,6168,Helt uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns , Nørrebro, 48," Minister for Børn, Ligestilling, Integration og Sociale Forhold ",  Frederiksberg C, Mand , Ja 
Christian Peter Schmidt-Sørensen Dragsdahl Scharling,286,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Delvist uenig,radikale venstre,Københavns , Tårnby, Ukendt, Studerende , 2300 København S, Mand , Nej 
André Just Vedgren,323,Delvist uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Københavns , Sundbyøster, Ukendt, Cand.it. , 2300 København S, Mand , Nej 
Niels Wanning,268,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Københavns , Valby, Ukendt, Rådgiver ,  København V, Mand , Nej 
Helle Bonnesen,1430,Helt enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,det konservative folkeparti,Københavns ," Sundbyøster, Vesterbro, Østerbro", 52, cand.merc. , 2300 København Ø, Kvinde , Ja 
Lars Barfoed,2606,Helt enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,det konservative folkeparti,Københavns ," Brønshøj, Falkoner, Slots", 58," Fhv. minister, cand. jur. ",  Frederiksberg, Mand , Ja 
Anne Hansen,1016,Delvist enig,Delvist uenig,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,det konservative folkeparti,Københavns ," Indre By, Nørrebro, Utterslev", 30, Konsulent ,  Hvidovre, Kvinde , Ja 
Josefine Kofoed,1209,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,det konservative folkeparti,Københavns ," Dragør, Tårnby", 29, stud.scient.pol. , Ukendt, Kvinde , Nej 
Søren-Michael Pihl,257,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt enig,det konservative folkeparti,Københavns ," Sundbyvester, Valby", Ukendt, Interim manager , 2100 København Ø, Mand , Nej 
Sisse Marie Welling,727,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialistisk folkeparti,Københavns ," Østerbro, Valby, Sundbyvester, Tårnby", 29, Fuldmægtig , 2200 København N, Kvinde , Nej 
Balder Mørk Andersen,400,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, 39, Konsulent ,  Frederiksberg, Mand , Ja 
Neil Bloem,278,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Københavns , Storkredskandidat, 33, Studerende , 2200 København N, Mand , Nej 
Özlem Sara Cekic,6542,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns ," Vesterbro, Indre by, Utterslev, Falkoner", 39, Sygeplejerske , 2770 Kastrup, Kvinde , Ja 
