"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Yildiz Akdogan","a","Københavns "," Brønshøj",42,FALSE," cand.scient.pol. "," 2200 København N",TRUE,4284,7037,"3K","","Alle","7",FALSE,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Sine Heltberg","a","Københavns "," Slots",39,FALSE," Ukendt ","  Frederiksberg",FALSE,827,1363,"","3","Alle","11",TRUE,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Özkan Kocak","a","Københavns "," Sundbyøster",39,TRUE," Ukendt "," 2600 Glostrup",FALSE,913,1515,"","2","Alle","4",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Lars Aslan Rasmussen","a","Københavns "," Nørrebro",36,TRUE," Folkeskolelærer "," 2300 København S",FALSE,1447,2368,"","1","Alle","5",TRUE,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Mette Reissmann","a","Københavns "," Valby",52,FALSE," MF "," 2100 København Ø",TRUE,2962,4880,"4K","","Alle","8",FALSE,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Dennis Schnell-Lauritzen","a","Københavns "," Sundbyvester",45,TRUE," cand.jur. "," 2300 København S",FALSE,508,841,"","4","Alle","2",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig"
"Kristian Westfall","a","Københavns "," Vesterbro",36,TRUE," cand.soc. "," 2200 København N",FALSE,324,528,"","6","Alle","9",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Pernille Boye Koch","b","Københavns "," Østerbro",44,FALSE," Universitetslektor "," 2720 Vanløse",FALSE,867,1547,"","4","Alle","1",FALSE,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Samira Nawa Amini","b","Københavns "," Utterslev",27,FALSE," Fuldmægtig ","  Roskilde",FALSE,1790,3208,"","2","Alle","6",TRUE,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig"
"Ida Auken","b","Københavns "," Vesterbro",37,FALSE," Fhv. minister ","  Frederiksberg",TRUE,10431,18600,"1K","","Alle","9",FALSE,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Søren Burcharth","b","Københavns "," Brønshøj",52,TRUE," Teamchef ","  Vanløse",FALSE,191,338,"","10","Alle","7",TRUE,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Sophie Danneris","b","Københavns "," Sundbyvester",29,FALSE," cand.scient.soc. ","  København S",FALSE,423,757,"","6","Alle","2",TRUE,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Karsten Lauritsen","b","Københavns "," Slots",50,TRUE," Direktør ","  Frederiksberg",FALSE,177,315,"","11","Alle","11",FALSE,"Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Lone Loklindt","b","Københavns "," Falkoner",55,FALSE," CSR-konsulent "," 1825 Frederiksberg C",FALSE,1134,2004,"","3","Alle","10",FALSE,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Manu Sareen","b","Københavns "," Nørrebro",48,TRUE," Minister for Børn, Ligestilling, Integration og Sociale Forhold ","  Frederiksberg C",FALSE,6168,11001,"","1","Alle","5",FALSE,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"André Just Vedgren","b","Københavns "," Sundbyøster",45,TRUE," Cand.it. "," 2300 København S",FALSE,323,576,"","7","Alle","4",TRUE,"Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig"
"Niels Wanning","b","Københavns "," Valby",35,TRUE," Rådgiver ","  København V",FALSE,268,477,"","9","Alle","8",TRUE,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"Helle Bonnesen","c","Københavns "," Sundbyøster, Vesterbro, Østerbro",52,FALSE," cand.merc. "," 2300 København Ø",FALSE,1430,2968,"","2","Alle","1 4 9",FALSE,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig"
"Lars Barfoed","c","Københavns "," Brønshøj, Falkoner, Slots",58,TRUE," Fhv. minister, cand. jur. ","  Frederiksberg",FALSE,2606,5343,"","1","Alle","7 10 11",FALSE,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig"
"Josefine Kofoed","c","Københavns "," Dragør, Tårnby",29,FALSE," stud.scient.pol. "," Ukendt",FALSE,1209,2474,"","3","Alle","12",TRUE,"Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Søren-Michael Pihl","c","Københavns "," Sundbyvester, Valby",58,TRUE," Interim manager "," 2100 København Ø",FALSE,257,541,"","5","Alle","2 8",TRUE,"Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig"
