"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"1","Yildiz Akdogan",4284,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns "," Brønshøj"," 42"," cand.scient.pol. "," 2200 København N"," Kvinde "," Ja ","Alle","7",7037,"3K",""
"2","Sine Heltberg",827,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Københavns "," Slots"," Ukendt"," Ukendt ","  Frederiksberg"," Kvinde "," Nej ","Alle","11",1363,"","3"
"3","Özkan Kocak",913,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","socialdemokraterne","Københavns "," Sundbyøster"," 39"," Ukendt "," 2600 Glostrup"," Mand "," Nej ","Alle","4",1515,"","2"
"4","Lars Aslan Rasmussen",1447,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig","socialdemokraterne","Københavns "," Nørrebro"," Ukendt"," Folkeskolelærer "," 2300 København S"," Mand "," Nej ","Alle","5",2368,"","1"
"5","Mette Reissmann",2962,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Københavns "," Valby"," 52"," MF "," 2100 København Ø"," Kvinde "," Ja ","Alle","8",4880,"4K",""
"6","Dennis Schnell-Lauritzen",508,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Københavns "," Sundbyvester"," Ukendt"," cand.jur. "," 2300 København S"," Mand "," Nej ","Alle","2",841,"","4"
"7","Kristian Westfall",324,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","socialdemokraterne","Københavns "," Vesterbro"," 36"," cand.soc. "," 2200 København N"," Mand "," Nej ","Alle","9",528,"","6"
"8","Pernille Boye Koch",867,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","radikale venstre","Københavns "," Østerbro"," 45"," Universitetslektor "," 2720 Vanløse"," Kvinde "," Ja ","Alle","1",1547,"","4"
"9","Samira Nawa Amini",1790,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","radikale venstre","Københavns "," Utterslev"," 27"," Fuldmægtig ","  Roskilde"," Kvinde "," Nej ","Alle","6",3208,"","2"
"10","Ida Auken",10431,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns "," Vesterbro"," 37"," Fhv. minister ","  Frederiksberg"," Kvinde "," Ja ","Alle","9",18600,"1K",""
"11","Søren Burcharth",191,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns "," Brønshøj"," Ukendt"," Teamchef ","  Vanløse"," Mand "," Nej ","Alle","7",338,"","10"
"12","Sophie Danneris",423,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Københavns "," Sundbyvester"," 29"," cand.scient.soc. ","  København S"," Kvinde "," Nej ","Alle","2",757,"","6"
"13","Karsten Lauritsen",177,"Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Københavns "," Slots"," 50"," Direktør ","  Frederiksberg"," Mand "," Ja ","Alle","11",315,"","11"
"14","Lone Loklindt",1134,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","radikale venstre","Københavns "," Falkoner"," 55"," CSR-konsulent "," 1825 Frederiksberg C"," Kvinde "," Ja ","Alle","10",2004,"","3"
"15","Manu Sareen",6168,"Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Københavns "," Nørrebro"," 48"," Minister for Børn, Ligestilling, Integration og Sociale Forhold ","  Frederiksberg C"," Mand "," Ja ","Alle","5",11001,"","1"
"16","André Just Vedgren",323,"Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Københavns "," Sundbyøster"," Ukendt"," Cand.it. "," 2300 København S"," Mand "," Nej ","Alle","4",576,"","7"
"17","Niels Wanning",268,"Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Københavns "," Valby"," Ukendt"," Rådgiver ","  København V"," Mand "," Nej ","Alle","8",477,"","9"
"18","Helle Bonnesen",1430,"Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","det konservative folkeparti","Københavns "," Sundbyøster, Vesterbro, Østerbro"," 52"," cand.merc. "," 2300 København Ø"," Kvinde "," Ja ","Alle","1 4 9",2968,"","2"
"19","Lars Barfoed",2606,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","det konservative folkeparti","Københavns "," Brønshøj, Falkoner, Slots"," 58"," Fhv. minister, cand. jur. ","  Frederiksberg"," Mand "," Ja ","Alle","7 10 11",5343,"","1"
"20","Josefine Kofoed",1209,"Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","det konservative folkeparti","Københavns "," Dragør, Tårnby"," 29"," stud.scient.pol. "," Ukendt"," Kvinde "," Nej ","Alle","12",2474,"","3"
