"Navn","pers_stemmer","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","SOCIAL__Kontanthjælpen.skal.sænkes..så.den.økonomiske.gevinst.ved.at.arbejde.bliver.større","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","MILJØ__Indsatsen.for.at.forbedre.miljøet.skal.gå.forud.for.økonomisk.vækst","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet.i.kreds.nr.","Nomineret.i.kreds.nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"Emilia Djomina Hansen",380,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Vestjyllands "," Ukendt"," 19"," studerende "," 8620 Kjellerup"," Kvinde "," Nej ","Alle","",1108,"",3
"Ronja Rose Ravnskov",428,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","socialistisk folkeparti","Sjællands "," Ringsted"," 20"," Tjener "," 4180 Sorø"," Kvinde "," Nej ","Alle","11",1130,"",5
"Dan Westerholt",169,"Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Fyns "," Ukendt"," 21"," Studerende ","  Odense C"," Mand "," Nej ","Alle","",791,"",4
"Lea Kielsholm",849,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Vestjyllands "," Skive, Herning syd"," 21"," Studerende "," 7330 Brande"," Kvinde "," Nej ","8.","3 ",1695,"",2
"Julie Gottschalk",1555,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","dansk folkeparti","Sydjyllands "," Tønder"," 22"," Studerende "," 6800 Varde"," Kvinde "," Nej ","Alle","3",2585,"",2
"Tilde Bork",3198,"Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","dansk folkeparti","Østjyllands "," Hedensted"," 22"," Studerende "," 7400 Herning"," Kvinde "," Nej ","Alle","11",11686,"3K",NA
"Isabella Arendt Laursen",595,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","kristendemokraterne","Østjyllands "," Århus syd, Århus nord"," 22"," Studerende "," 2500 Valby"," Kvinde "," Ja ","Alle","1 3 4",1519,"",NA
"Kasper Skov Andersen",413,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","socialdemokraterne","Vestjyllands "," Viborg Øst"," 23"," Pædagog "," 8800 Viborg"," Mand "," Nej ","Alle","4",754,"",4
"Morten Ryom",2246,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Nordjyllands "," Aalborg øst"," 23"," Smed "," 9000 Aalborg"," Mand "," Nej ","Alle","7",3822,"",3
"Mathias Mogensen Brosbøl",203,"Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","kristendemokraterne","Østjyllands "," Århus vest"," 23"," Bygningsingeniørstuderende "," 8230 Århus"," Mand "," Nej ","Alle","",641,"",6
