"","Navn","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Stemmer_pers","Valgt_nr","Stedfor_nr"
"1","Yildiz Akdogan","Alle","7",7037,4284,"3K",""
"2","Ditte Brøndum","Alle","6",557,336,"","5"
"3","Sine Heltberg","Alle","11",1363,827,"","3"
"4","Özkan Kocak","Alle","4",1515,913,"","2"
"5","Bo Kømler","Alle","10",97,59,"","8"
"6","Lars Aslan Rasmussen","Alle","5",2368,1447,"","1"
"7","Mette Reissmann","Alle","8",4880,2962,"4K",""
"8","Dennis Schnell-Lauritzen","Alle","2",841,508,"","4"
"9","Simon Simonsen","Alle","3",464,287,"","7"
"10","Peter Hummelgaard Thomsen","Alle","12",8294,5065,"2K",""
"11","Helle Thorning-Schmidt","Alle","1",68809,42412,"1K",""
"12","Kristian Westfall","Alle","9",528,324,"","6"
"13","Jeppe Bruus","Alle","3",5172,2806,"","1"
"14","Morten Bødskov","Alle","4",10496,5935,"4K",""
"15","Kenneth F. Christensen","Alle","5",2788,1466,"","2"
"16","Mette Frederiksen","Alle","8",42676,24486,"1K",""
"17","Jesper Hostrup Hansen","Alle","1",243,133,"","4"
"18","Mogens Lykketoft","Alle","7",12106,6795,"3K",""
"19","Simon Pihl Sørensen","Alle","2",1923,1034,"","3"
"20","Mattias Tesfaye","Alle","6",14957,8545,"2K",""
"21","Christine Antorini","Alle","2 3",18523,8193,"2K",""
"22","Nick Hækkerup","Alle","5",26064,11546,"1K",""
"23","Miki Dam Larsen","Alle","6",2974,1228,"","2"
"24","Malou Lunderød","Alle","4",8188,3738,"","1"
"25","Pernille Schnoor","Alle","1",9073,3811,"3K",""
"26","Lars Goldschmidt","Alle","",374,264,"","2"
"27","Claus Larsen-Jensen","Alle","",2710,1905,"","1"
"28","Lea Wermelin","Alle","Alle",5599,3951,"1K",""
"29","Tom Block","Alle","12",5408,2822,"","3"
"30","Lennart Damsbo-Andersen","Alle","2",9821,5902,"6K",""
"31","Kaare Dybvad","Alle","9",7774,4121,"7K",""
"32","Mette Gjerskov","Alle","8",7465,3935,"1T",""
"33","Jeannie Thorving Hansen","Alle","5",1547,825,"","4"
"34","Magnus Heunicke","Alle","4",27538,17864,"1K",""
"35","Ole Hækkerup","Alle","11",6867,3561,"","2"
"36","Astrid Krag","Alle","7",27520,14898,"2K",""
"37","Rasmus Horn Langhoff","Alle","10",10650,5917,"5K",""
"38","Henrik Sass Larsen","Alle","6",13474,7201,"4K",""
"39","Pernille Rosenkrantz-Theil","Alle","3",21121,12071,"3K",""
"40","Kasper Roug","Alle","1",7279,4257,"","1"
"41","Trine Bramsen","Alle","2",16666,8337,"3K",""
"42","Erik Christensen","Alle","1",8024,4447,"4K",""
"43","Carsten Hansen","Alle","3",5181,2567,"","1"
"44","Jan Johansen","Alle","6",18894,10440,"2K",""
"45","Dan Jørgensen","Alle","5",29333,14874,"1K",""
"46","Chresten Anker Nielsen","Alle","8",960,465,"","3"
"47","Julie Skovsby","Alle","4",7598,3811,"1T",""
"48","Frede Skaaning","Alle","7",3405,1516,"","2"
"49","Niels Ole Beck","Alle","6",2438,1130,"","5"
"50","Helle Due Buchvaldt","Alle","5",5340,2739,"","4"
"51","Bjarne Corydon","Alle","4",22277,11326,"1K",""
"52","Benny Engelbrecht","Alle","1",14374,8516,"2K",""
"53","Ove Jensen","Alle","11",267,138,"","8"
"54","Karen J. Klint","Alle","9",12340,6050,"3K",""
"55","Christian Rabjerg Madsen","Alle","12",9955,5201,"5K",""
"56","Frank Mosegaard","Alle","8",706,354,"","6"
"57","John Nyborg","Alle","10",5907,2719,"","3"
"58","Jesper Petersen","Alle","13",12042,6842,"4K",""
"59","Troels Ravn","Alle","7",9569,5891,"","1"
"60","Jan Salskov","Alle","3",493,237,"","7"
"61","Anne Sina","Alle","2",8683,4582,"","2"
"62","Kirsten Brosbøl","Alle","9",18970,10843,"2K",""
"63","Daniel Toft Jakobsen","Alle","8",8353,4344,"1T",""
"64","Leif Lahn Jensen","Alle","5",11793,7393,"6K",""
"65","Jens Joel","Alle","4",13081,7191,"5K",""
"66","Henrik Dam Kristensen","Alle","10",15790,8109,"3K",""
"67","Malte Larsen","Alle","6",5809,3449,"","1"
"68","Maja Panduro","Alle","7",14738,8672,"4K",""
"69","Kim Qvist","Alle","2",2453,1365,"","3"
"70","Thyge Risvig","Alle","11",196,100,"","4"
"71","Christen Sørensen","Alle","3",3234,1779,"","2"
"72","Nicolai Wammen","Alle","1",37903,21152,"1K",""
"73","Kasper Skov Andersen","Alle","4",754,413,"","4"
"74","Anders Andreasen","Alle","9 11",754,410,"","5"
