"n_date";"n_trans";"n_town";"n_district";"n_views";"n_department";"n_currency";"n_paid";"n_title"
"2015-11-02";"Others";"Ambikapur
                      ";" Chhattisgarh";"34 ";"Others";" INR";1;"
                      I Paid Rs. 1 to Others in Ambikapur.
                    "
"2015-11-02";"Birth Certificate";"Itanagar
                      ";" Arunachal Pradesh";"25 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Itanagar.
                    "
"2015-11-02";"Birth Certificate";"Vidisha
                      ";" Madhya Pradesh";"42 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 464001 to Municipal Services in Vidisha.
                    "
"2015-11-02";"Birth Certificate";"Abhayapuri
                      ";" Assam";"87 ";"Municipal Services";" INR";12;"
                      I Paid Rs. 12 to Municipal Services in Abhayapuri.
                    "
"2015-11-02";"Registration of Vehicle";"Alipurduar
                      ";" West Bengal";"80 ";"Transport";" INR";NA;"
                      I Paid Rs. 120200 to Transport in Alipurduar.
                    "
"2015-11-02";"Birth Certificate";"Kochi
                      ";" Kerala";"106 ";"Municipal Services";" INR";1200;"
                      I Paid Rs. 1200 to Municipal Services in Kochi.
                    "
"2015-11-02";"Traffic Violations";"Mahesana
                      ";" Gujarat";"96 ";"Police";" INR";10000;"
                      I Paid Rs. 10000 to Police in Mahesana.
                    "
"2015-11-02";"Birth Certificate";"Jammu
                      ";" Jammu and Kashmir";"81 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Jammu.
                    "
"2015-11-02";"New PAN Card";"Pune
                      ";" Maharashtra";"91 ";"Income Tax";" INR";200;"
                      I Paid Rs. 200 to Income Tax in Pune.
                    "
"2015-11-02";"Others";"Hyderabad
                      ";" Telangana";"103 ";"Others";" INR";20000;"
                      I Paid Rs. 20000 to Others in Hyderabad.
                    "
"2015-11-02";"Issue of Ration Card";"Kolkata
                      ";" West Bengal";"139 ";"Food, Civil Supplies and Consumer Affairs";" INR";500;"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.
                    "
"2015-11-01";"Birth Certificate";"Chennai
                      ";" Tamil Nadu";"136 ";"Municipal Services";" INR";111;"
                      I Paid Rs. 111 to Municipal Services in Chennai.
                    "
"2015-11-01";"Birth Certificate";"Adilabad
                      ";" Telangana";"108 ";"Municipal Services";" INR";200;"
                      I Paid Rs. 200 to Municipal Services in Adilabad.
                    "
"2015-11-01";"New PAN Card";"Abohar
                      ";" Punjab";"114 ";"Income Tax";" INR";2000;"
                      I Paid Rs. 2000 to Income Tax in Abohar.
                    "
